ShiftID,EmployeeID,ShiftDate,Shift
SHIFT00545,EMP00172,2024-11-17,Evening
SHIFT00546,EMP00058,2024-03-28,Afternoon
SHIFT00547,EMP00153,2025-03-21,Afternoon
SHIFT00548,EMP00116,2023-09-28,Morning
SHIFT00549,EMP00032,2024-01-17,Morning
SHIFT00550,EMP00022,2024-09-05,Afternoon
SHIFT00551,EMP00093,2024-12-16,Evening
SHIFT00552,EMP00055,2025-04-13,Evening
SHIFT00553,EMP00189,2024-11-22,Morning
SHIFT00554,EMP00108,2023-07-04,Morning
SHIFT00555,EMP00185,2024-02-01,Evening
SHIFT00556,EMP00077,2024-11-28,Afternoon
SHIFT00557,EMP00061,2024-04-20,Morning
SHIFT00558,EMP00122,2025-02-17,Evening
SHIFT00559,EMP00092,2024-01-07,Morning
SHIFT00560,EMP00067,2024-03-30,Afternoon
SHIFT00561,EMP00130,2023-09-28,Morning
SHIFT00562,EMP00114,2023-08-27,Evening
SHIFT00563,EMP00185,2024-08-30,Afternoon
SHIFT00564,EMP00121,2023-11-05,Evening
SHIFT00565,EMP00161,2023-08-12,Afternoon
SHIFT00566,EMP00063,2024-06-09,Evening
SHIFT00567,EMP00144,2024-09-10,Morning
SHIFT00568,EMP00129,2024-11-21,Afternoon
SHIFT00569,EMP00085,2024-07-05,Afternoon
SHIFT00570,EMP00064,2023-10-16,Afternoon
SHIFT00571,EMP00120,2024-10-31,Morning
SHIFT00572,EMP00069,2023-07-11,Afternoon
SHIFT00573,EMP00124,2023-11-27,Morning
SHIFT00574,EMP00121,2025-05-25,Morning
SHIFT00575,EMP00145,2023-12-22,Afternoon
SHIFT00576,EMP00040,2023-06-18,Evening
SHIFT00577,EMP00102,2025-01-15,Afternoon
SHIFT00578,EMP00129,2024-09-09,Evening
SHIFT00579,EMP00013,2025-01-25,Evening
SHIFT00580,EMP00018,2024-03-09,Afternoon
SHIFT00581,EMP00068,2023-08-17,Afternoon
SHIFT00582,EMP00111,2025-01-06,Evening
SHIFT00583,EMP00014,2024-10-02,Afternoon
SHIFT00584,EMP00133,2024-08-10,Afternoon
SHIFT00585,EMP00062,2023-12-31,Morning
SHIFT00586,EMP00161,2023-12-29,Evening
SHIFT00587,EMP00026,2024-05-03,Morning
SHIFT00588,EMP00189,2025-04-09,Afternoon
SHIFT00589,EMP00196,2024-12-29,Afternoon
SHIFT00590,EMP00030,2024-11-29,Morning
SHIFT00591,EMP00190,2024-05-23,Morning
SHIFT00592,EMP00062,2023-12-11,Afternoon
SHIFT00593,EMP00081,2025-03-11,Evening
SHIFT00594,EMP00070,2025-01-16,Morning
SHIFT00595,EMP00185,2024-11-28,Evening
SHIFT00596,EMP00091,2023-10-08,Afternoon
SHIFT00597,EMP00036,2025-04-17,Evening
SHIFT00598,EMP00007,2025-04-10,Evening
SHIFT00599,EMP00065,2023-08-01,Afternoon
SHIFT00600,EMP00077,2024-09-11,Afternoon
