ProductPromotionID,ProductID,PromotionID,StartDate,EndDate
PP000436,PROD00686,PROMO0030,2024-10-28,2025-05-27
PP000437,PROD00346,PROMO0038,2025-02-24,2025-06-15
PP000438,PROD00328,PROMO0029,2024-11-30,2025-06-25
PP000439,PROD00555,PROMO0039,2024-06-06,2025-05-28
PP000440,PROD00699,PROMO0004,2025-05-03,2025-06-21
PP000441,PROD00302,PROMO0005,2024-12-09,2025-06-07
PP000442,PROD00200,PROMO0004,2025-05-11,2025-06-23
PP000443,PROD00419,PROMO0036,2025-05-10,2025-06-16
PP000444,PROD00039,PROMO0016,2025-01-25,2025-06-25
PP000445,PROD00732,PROMO0025,2025-03-15,2025-06-12
PP000446,PROD00307,PROMO0014,2024-11-22,2025-06-21
PP000447,PROD00004,PROMO0011,2024-07-16,2025-06-21
PP000448,PROD00633,PROMO0029,2025-01-30,2025-06-10
PP000449,PROD00077,PROMO0034,2025-03-15,2025-06-01
PP000450,PROD00468,PROMO0022,2024-06-30,2025-05-31
PP000451,PROD00179,PROMO0014,2024-06-30,2025-06-11
PP000452,PROD00645,PROMO0024,2024-06-02,2025-06-25
PP000453,PROD00741,PROMO0039,2024-10-24,2025-06-20
PP000454,PROD00276,PROMO0026,2025-04-10,2025-06-07
PP000455,PROD00152,PROMO0036,2025-02-08,2025-05-28
PP000456,PROD00164,PROMO0039,2024-10-20,2025-05-30
PP000457,PROD00290,PROMO0016,2024-06-25,2025-05-28
PP000458,PROD00378,PROMO0038,2024-09-18,2025-05-29
PP000459,PROD00621,PROMO0032,2025-05-09,2025-06-17
PP000460,PROD00638,PROMO0006,2024-07-07,2025-06-12
PP000461,PROD00752,PROMO0034,2025-02-06,2025-06-21
PP000462,PROD00310,PROMO0008,2025-01-22,2025-06-13
PP000463,PROD00389,PROMO0030,2024-10-22,2025-05-29
PP000464,PROD00658,PROMO0027,2024-12-29,2025-06-18
PP000465,PROD00764,PROMO0007,2024-09-20,2025-05-29
PP000466,PROD00183,PROMO0027,2024-12-31,2025-06-03
PP000467,PROD00306,PROMO0025,2024-07-13,2025-06-11
PP000468,PROD00072,PROMO0015,2024-12-12,2025-06-22
PP000469,PROD00219,PROMO0025,2025-01-30,2025-06-13
PP000470,PROD00719,PROMO0022,2024-06-27,2025-06-23
PP000471,PROD00173,PROMO0018,2024-09-13,2025-06-02
PP000472,PROD00653,PROMO0012,2024-10-08,2025-06-06
PP000473,PROD00272,PROMO0023,2024-06-06,2025-06-25
PP000474,PROD00726,PROMO0039,2024-07-15,2025-06-23
PP000475,PROD00468,PROMO0025,2024-06-04,2025-06-16
PP000476,PROD00269,PROMO0010,2024-10-11,2025-06-16
PP000477,PROD00020,PROMO0030,2025-05-22,2025-06-03
PP000478,PROD00578,PROMO0010,2024-07-12,2025-05-27
PP000479,PROD00503,PROMO0034,2024-07-22,2025-06-20
PP000480,PROD00147,PROMO0013,2025-02-21,2025-06-22
PP000481,PROD00429,PROMO0029,2024-06-28,2025-06-20
PP000482,PROD00165,PROMO0038,2024-05-28,2025-06-22
PP000483,PROD00310,PROMO0009,2024-06-20,2025-06-08
PP000484,PROD00518,PROMO0013,2025-01-25,2025-06-24
PP000485,PROD00014,PROMO0037,2025-02-27,2025-06-19
PP000486,PROD00132,PROMO0014,2024-11-10,2025-06-23
PP000487,PROD00755,PROMO0037,2025-03-17,2025-06-12
PP000488,PROD00439,PROMO0009,2024-09-15,2025-06-11
PP000489,PROD00743,PROMO0008,2024-08-20,2025-06-21
PP000490,PROD00740,PROMO0039,2024-08-26,2025-06-19
PP000491,PROD00674,PROMO0040,2024-06-03,2025-05-31
PP000492,PROD00795,PROMO0003,2024-11-05,2025-06-23
PP000493,PROD00263,PROMO0040,2024-12-17,2025-06-09
PP000494,PROD00643,PROMO0033,2024-08-17,2025-06-13
PP000495,PROD00225,PROMO0032,2024-11-30,2025-06-22
PP000496,PROD00258,PROMO0007,2025-04-14,2025-06-22
PP000497,PROD00234,PROMO0019,2024-06-15,2025-06-07
PP000498,PROD00336,PROMO0034,2024-07-16,2025-06-01
PP000499,PROD00409,PROMO0014,2024-08-06,2025-06-18
PP000500,PROD00024,PROMO0019,2024-12-07,2025-06-22
